24.04	11.5	7.6	6.4
23.77	11.39	7.5	6.31
23.5	11.27	7.39	6.22
23.22	11.16	7.29	6.13
22.95	11.04	7.19	6.04
22.68	10.93	7.08	5.96
22.41	10.81	6.98	5.87
22.14	10.7	6.88	5.78
21.86	10.58	6.77	5.69
21.59	10.47	6.67	5.6
21.32	10.35	6.57	5.51
21.05	10.24	6.46	5.42
20.78	10.12	6.36	5.33
20.51	10.01	6.26	5.24
20.23	9.89	6.15	5.15
19.96	9.78	6.05	5.07
19.69	9.66	5.95	4.98
19.42	9.55	5.84	4.89
19.15	9.43	5.74	4.8
18.87	9.32	5.64	4.71
18.6	9.2	5.53	4.62
18.33	9.09	5.43	4.53
18.06	8.97	5.33	4.44
17.79	8.86	5.22	4.35
17.51	8.74	5.12	4.27
17.24	8.63	5.01	4.18
16.97	8.51	4.91	4.09
16.7	8.4	4.81	4
16.43	8.28	4.7	3.91
16.15	8.17	4.6	3.82
15.88	8.05	4.5	3.73
15.61	7.94	4.39	3.64
15.34	7.82	4.29	3.55
15.07	7.71	4.19	3.47
14.79	7.59	4.08	3.38
14.52	7.48	3.98	3.29
14.25	7.36	3.88	3.2
13.98	7.25	3.77	3.11
13.71	7.13	3.67	3.02
13.44	7.02	3.57	2.93
13.16	6.9	3.46	2.84
12.89	6.79	3.36	2.75
12.62	6.67	3.26	2.66
12.35	6.56	3.15	2.58
12.08	6.44	3.05	2.49
11.8	6.33	2.95	2.4
11.53	6.21	2.84	2.31
11.26	6.1	2.74	2.22
10.99	5.99	2.64	2.13
10.72	5.87	2.53	2.04
10.44	5.76	2.43	1.95
10.17	5.64	2.33	1.86
